,movie,year,imdb
520,The Royal Tenenbaums,(2001),7.6
521,Hannibal,(2001),6.8
522,Vanilla Sky,(2001),6.9
523,Zoolander,(2001),6.6
524,American Pie 2,(2001),6.4
525,Blow,(2001),7.6
526,Scrubs,(2001–2010),8.4
527,Enemy at the Gates,(2001),7.6
528,Bridget Jones's Diary,(2001),6.7
529,Planet of the Apes,(2001),5.7
530,Lara Croft: Tomb Raider,(2001),5.8
531,Rush Hour 2,(2001),6.6
532,Swordfish,(2001),6.5
533,K-PAX,(2001),7.4
534,24,(2001–2010),8.4
535,Legally Blonde,(2001),6.3
536,A Knight's Tale,(2001),6.9
537,Jay and Silent Bob Strike Back,(2001),6.9
538,From Hell,(2001),6.8
539,Scary Movie 2,(2001),5.3
540,I Am Sam,(2001),7.6
541,Spy Game,(2001),7.1
542,Shallow Hal,(2001),5.9
543,The Princess Diaries,(2001),6.3
544,The Score,(2001),6.8
545,Evolution,(2001),6.1
546,Six Feet Under,(2001–2005),8.7
547,Smallville,(2001–2011),7.5
548,Ghost World,(2001),7.4
549,Y Tu Mamá También,(2001),7.7
550,Rat Race,(2001),6.4
551,Jeepers Creepers,(2001),6.2
552,Spy Kids,(2001),5.5
553,Serendipity,(2001),6.9
554,The Mexican,(2001),6.1
555,The Man Who Wasn't There,(2001),7.6
556,Behind Enemy Lines,(2001),6.4
557,Lagaan: Once Upon a Time in India,(2001),8.1
558,Atlantis: The Lost Empire,(2001),6.9
559,Super Troopers,(2001),7.1
560,Not Another Teen Movie,(2001),5.7
561,Ali,(2001),6.8
562,The Experiment,(2001),7.7
563,The One,(2001),5.9
564,The Office,(2001–2003),8.5
565,Sweet November,(2001),6.7
566,Monster's Ball,(2001),7.1
567,Final Fantasy: The Spirits Within,(2001),6.4
568,Kate & Leopold,(2001),6.4
569,Thir13en Ghosts,(2001),5.6
570,Gosford Park,(2001),7.3
571,Frailty,(2001),7.3
572,The Wedding Planner,(2001),5.3
573,Along Came a Spider,(2001),6.3
574,Shaolin Soccer,(2001),7.3
575,The Last Castle,(2001),6.9
576,Bandits,(2001),6.5
577,Dil Chahta Hai,(2001),8.2
578,Joy Ride,(2001),6.6
579,Brotherhood of the Wolf,(2001),7.1
580,Kiss of the Dragon,(2001),6.6
581,Waking Life,(2001),7.8
582,The Devil's Backbone,(2001),7.5
