142,Brokeback Mountain,https://image.tmdb.org/t/p/original/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflicting with the lives they are supposed to live.","['Drama', 'Romance']",14000000,178043761,10-09-2005,134,Love is a force of nature,Released,https://www.imdb.com/title/tt0388795,"['Good Machine', 'Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']",7.8,3181,https://image.tmdb.org/t/p/original/4BMel8xxSed1pCkPSGc9R3jsUtC.jpg
153,Lost in Translation,https://image.tmdb.org/t/p/original/5T8VvuFTdaawKLJk34i69Utaw7o.jpg,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","['Drama', 'Romance', 'Comedy']",4000000,119723856,31-08-2003,102,Everyone wants to be found.,Released,https://www.imdb.com/title/tt0335266,['American Zoetrope'],7.4,3322,https://image.tmdb.org/t/p/original/iJP2ogeM5YpZyUOkmCiZ5UXWyBf.jpg
155,The Dark Knight,https://image.tmdb.org/t/p/original/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","['Drama', 'Action', 'Crime', 'Thriller']",185000000,1004558444,16-07-2008,152,Why So Serious?,Released,https://www.imdb.com/title/tt0468569,"['DC Entertainment', 'DC Comics', 'Legendary Entertainment', 'Syncopy', 'Warner Bros. Pictures']",8.4,18262,https://image.tmdb.org/t/p/original/hqkIcbrOHL86UncnHIsHVcVmzue.jpg
161,Ocean's Eleven,https://image.tmdb.org/t/p/original/o0h76DVXvk5OKjmNez5YY0GODC2.jpg,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","['Thriller', 'Crime']",85000000,450717150,07-12-2001,116,Are you in or out?,Released,https://www.imdb.com/title/tt0240772,"['WV Films II', 'Village Roadshow Pictures', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Section Eight', 'Warner Bros. Pictures']",7.3,6360,https://image.tmdb.org/t/p/original/z2fiN0tgkgOcAFl5gxvQlYXCn3l.jpg
163,Ocean's Twelve,https://image.tmdb.org/t/p/original/nS3iDLQuy13XY1JH58NNl1rCuNN.jpg,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.","['Thriller', 'Crime']",110000000,362744280,09-12-2004,125,Twelve is the new eleven.,Released,https://www.imdb.com/title/tt0349903,"['Village Roadshow Pictures', 'Jerry Weintraub Productions', 'Section Eight', 'WV Films III', 'Warner Bros. Pictures']",6.5,3770,https://image.tmdb.org/t/p/original/bYfM7W5bPTRLptXTItYExgTZLQV.jpg
167,K-PAX,https://image.tmdb.org/t/p/original/pCZxl9Si7i46nduSqUSzFdHYiEO.jpg,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.","['Drama', 'Science Fiction']",48000000,50315140,22-10-2001,120,Change the way you look at the world.,Released,https://www.imdb.com/title/tt0272152,"['Intermedia Films', 'Lawrence Gordon Productions', 'Pathé Pictures International', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG']",7.2,1152,https://image.tmdb.org/t/p/original/yrPhUxZcTo68CFjsVCdHXYm8emP.jpg
170,28 Days Later,https://image.tmdb.org/t/p/original/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","['Horror', 'Thriller', 'Science Fiction']",5000000,82719885,31-10-2002,113,His fear began when he woke up alone. His terror began when he realised he wasn't.,Released,https://www.imdb.com/title/tt0289043,['DNA Films'],7.2,3140,https://image.tmdb.org/t/p/original/nESF8Tw4BYnDy8PUDkF5SLIlzTJ.jpg
176,Saw,https://image.tmdb.org/t/p/original/dHYvIgsax8ZFgkz1OslE4V6Pnf5.jpg,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...","['Horror', 'Mystery', 'Crime']",1200000,103911669,01-10-2004,103,Live or die. Make your choice.,Released,https://www.imdb.com/title/tt0387564,"['Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.', 'Lionsgate']",7.4,4601,https://image.tmdb.org/t/p/original/fLL6WfUXvdQee1fD4xuzNnWfVBk.jpg
179,The Interpreter,https://image.tmdb.org/t/p/original/aAW4W8x41TwWQUQpLQqkWNQbtlv.jpg,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.","['Crime', 'Thriller']",80000000,162944923,08-04-2005,128,The truth needs no translation.,Released,https://www.imdb.com/title/tt0373926,"['Mirage Enterprises', 'Universal Pictures', 'StudioCanal', 'Working Title Films', 'Misher Films', 'Motion Picture JOTA Produktions']",6.3,679,https://image.tmdb.org/t/p/original/4Iupq57fGTFOy2aysaMJLVRPoiE.jpg
180,Minority Report,https://image.tmdb.org/t/p/original/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.","['Action', 'Thriller', 'Science Fiction', 'Mystery']",102000000,358372926,20-06-2002,145,The system is perfect until it comes after you.,Released,https://www.imdb.com/title/tt0181689,"['Digital Image Associates', 'Cruise/Wagner Productions', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Amblin Entertainment', '20th Century Fox', 'DreamWorks']",7.3,4405,https://image.tmdb.org/t/p/original/bwC6eydgNpGIaLGosyhw0DUBmgb.jpg
182,The Good German,https://image.tmdb.org/t/p/original/3LjHC2CWDkzoiPehf3GViujws0.jpg,An American journalist arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover.,"['Drama', 'Thriller', 'Mystery']",32000000,5914908,08-12-2006,108,"If war is Hell, then what comes after?",Released,https://www.imdb.com/title/tt0452624,"['Sunset Gower Studios', 'Warner Bros. Pictures', 'Section Eight']",6.1,143,https://image.tmdb.org/t/p/original/eIzvBmjdPvav1iTezZtStUgrXaj.jpg
186,Lucky Number Slevin,https://image.tmdb.org/t/p/original/jtKq0EtothAzWlnRBBWGCA8uFuu.jpg,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.","['Drama', 'Thriller', 'Crime', 'Mystery']",27000000,56308881,24-02-2006,110,Wrong Time. Wrong Place. Wrong Number.,Released,https://www.imdb.com/title/tt0425210,"['The Weinstein Company', 'FilmEngine', 'Capitol Films', 'Ascendant Pictures', 'VIP Medienfonds 4', 'The Complex Studio']",7.5,2141,https://image.tmdb.org/t/p/original/8nvayG5l0urcjvvpszoECDqLWzD.jpg
